ID,NAME,TYPE,AREA,ZMEAN,ALT,LAT,TEMP,SDT,TP,TON,CHL-a
70,Gutierrez,lake,16.4,79.7,750,41.2,5,10.5,2,14,0.39
71,Ne Luan,lake,0.6,6.4,1000,40.88,9.6,0.6,68,48,23.8
72,Mascardi,lake,39.2,111,750,41.3,5,9.5,3,9,0.22
73,Guillermo,lake,5.4,61.3,826,41.38,5,11,4,14,0.55
74,Steffen,lake,6.3,46.7,525,41.52,6,13,3,13,0.21
75,Las Chultas,lake,0.6,11.4,585,42.17,7,9,9,29,0.69
76,Epuyen,lake,17.4,92.4,250,42.17,5,19,1,9,0.16
77,Puelo,lake,44,111,150,42.17,5,7,3,9,0.23
78,Cholila,lake,17.5,48.5,540,42.47,5,11.5,9,17,0.33
79,Lezama,lake,7.5,36,750,42.45,6,16,4,20,0.74
80,Los Mosquitos,lake,4.6,6.1,500,42.5,7,0.9,30,61,54.1
81,Rivadavia,lake,21.7,104,527,42.57,5,11.5,3,17,0.35
82,Esquel,lake,2.8,2.1,650,42.88,8,2.8,74,72,4.1
83,Brechman,lake,0.3,3.3,480,42.9,8,1.5,43,45,12
84,Verde,lake,1.4,18.3,520,42.72,5,11,4,23,0.68
85,Wilimanco,lake,0.6,6.4,700,42.88,8,4,25,38,7.2
86,Zeta,lake,0.8,5.9,850,42.88,8,3.6,92,63,6.6
87,Largo,lake,2.8,19.5,800,42.9,5,13.5,7,21,0.49
88,Terraplén,lake,2.7,3.5,750,42.98,6,1.1,30,69,20.1
89,Amutui Quimen,reservoir,86.7,64.7,502,42.88,5,10.5,3,22,0.68
90,Futalaufquen,lake,44.6,101,518,42.83,5,14,2,13,0.5
91,Rosario,lake,14.5,24.9,650,43.25,8,5.9,20,33,1.69
92,Quichaura,lake,2.5,3.4,900,43.55,7.5,5,38,83,1.1
93,Cronometro,lake,5.8,4.4,850,43.25,8,1.2,294,120,9.6
94,Los Niños,lake,0.7,4.3,900,44.87,7,12,6,22,0.47
95,Pico 4,lake,5.3,6.8,550,44.27,5,12,9,24,1.81
96,Pico 3,lake,4.5,3.8,550,44.2,5,3.2,33,41,2.8
97,Pico 1,lake,12,41,550,44.25,5,12.9,9,28,0.92
98,La Plata,lake,76,97,940,44.87,5,12.6,6,20,0.26
99,Fontana,lake,81.5,79,930,44.93,5,14.5,6,20,0.28
100,Blanco,lake,31.7,0.7,550,45.9,5,0.03,1550,411,77.8
101,Muster,lake,414,20,275,45.37,10.9,1.2,30,52,7.1
102,Colhue Huapi,lake,810,2,265,45.5,10.9,0.07,608,127,17
103,Ameghino,reservoir,65,24.6,169,44.1,11,2.2,43,41,2.17
